model,attack,paper_udr,reproduced_udr,delta,status,notes
LlamaGuard,GCG-R,0.612,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,AutoDAN,0.738,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,PAIR,0.491,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
LlamaGuard,TAP,0.101,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,Benign,0.883,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,GCG-U1,0.782,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,GCG-U2,0.744,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,GCG-V,0.812,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,GCG-L,0.688,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,GCG-R,0.656,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,AutoDAN,0.802,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,PAIR,0.557,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
Ensemble,TAP,0.278,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,Benign,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,GCG-U1,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,GCG-U2,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,GCG-V,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,GCG-L,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,GCG-R,0.973,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,AutoDAN,0.948,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,PAIR,0.581,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard MLN,TAP,0.375,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,Benign,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,GCG-U1,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,GCG-U2,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,GCG-V,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,GCG-L,1.0,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,GCG-R,0.973,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,AutoDAN,0.945,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,PAIR,0.583,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
R2-Guard PC,TAP,0.369,,,BLOCKED,Jailbreak reproduction is blocked under budget policy and missing exact repo-provided PAIR/TAP/AutoDAN/GCG-R artifacts
