model,dataset,paper_reference_model,paper_auprc,reproduced_auprc,delta,status,num_instances,runtime_seconds,notes
R2-Guard MLN local-components,XSTest,R2-Guard MLN,0.878,0.8073299153693749,-0.07067008463062507,PARTIAL-COMPONENT,450,0.10766935348510742,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard MLN local-components,Overkill,R2-Guard MLN,0.921,0.7169274257968659,-0.20407257420313418,PARTIAL-COMPONENT,500,0.11054611206054688,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard MLN local-components,BeaverTails,R2-Guard MLN,0.83,0.727103785123446,-0.10289621487655398,PARTIAL-COMPONENT,3021,0.582770586013794,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard MLN local-components,TwinSafety,R2-Guard MLN,0.758,0.6090071860703602,-0.1489928139296398,PARTIAL-COMPONENT,300,0.08180975914001465,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard PC-like released AC_inference,OpenAI Mod,R2-Guard PC,0.924,0.8193763067902078,-0.10462369320979226,PARTIAL-COMPONENT,1680,0.051218509674072266,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard PC-like released AC_inference,ToxicChat,R2-Guard PC,0.909,0.8261528472714276,-0.08284715272857246,PARTIAL-COMPONENT,5083,0.09340739250183105,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard PC-like released AC_inference,XSTest,R2-Guard PC,0.882,0.8073299153693749,-0.07467008463062508,PARTIAL-COMPONENT,450,0.031652212142944336,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard PC-like released AC_inference,Overkill,R2-Guard PC,0.919,0.7169274257968659,-0.20207257420313418,PARTIAL-COMPONENT,500,0.03251171112060547,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard PC-like released AC_inference,BeaverTails,R2-Guard PC,0.825,0.727103785123446,-0.09789621487655398,PARTIAL-COMPONENT,3021,0.07158398628234863,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
R2-Guard PC-like released AC_inference,TwinSafety,R2-Guard PC,0.757,0.6090071860703602,-0.1479928139296398,PARTIAL-COMPONENT,300,0.03522157669067383,"Full dataset, but R2-Guard uses only Detoxify + ToxicChat-T5 rather than paper OpenAI Mod + LlamaGuard + ToxicChat-T5"
